id,title,rating,date,MPA_rating
A0,"1. The Shawshank Redemption",9.3,"1994",R
A1,"2. The Dark Knight",9.0,"2008",PG-13
A2,"3. Inception",8.8,"2010",PG-13
A3,"4. Fight Club",8.8,"1999",R
A4,"5. Forrest Gump",8.8,"1994",PG-13
A5,"6. Pulp Fiction",8.9,"1994",R
A6,"7. Interstellar",8.7,"2014",PG-13
A7,"8. The Matrix",8.7,"1999",R
A8,"9. The Godfather",9.2,"1972",R
A9,"10. The Lord of the Rings: The Fellowship of the Ring",8.9,"2001",PG-13
A10,"11. The Lord of the Rings: The Return of the King",9.0,"2003",PG-13
A11,"12. The Dark Knight Rises",8.4,"2012",PG-13
A12,"13. Se7en",8.6,"1995",R
A13,"14. The Lord of the Rings: The Two Towers",8.8,"2002",PG-13
A14,"15. Django Unchained",8.5,"2012",R
A15,"16. Gladiator",8.5,"2000",R
A16,"17. The Wolf of Wall Street",8.2,"2013",R
A17,"18. Inglourious Basterds",8.4,"2009",R
A18,"19. Batman Begins",8.2,"2005",PG-13
A19,"20. The Silence of the Lambs",8.6,"1991",R
A20,"21. Joker",8.3,"2019",R
A21,"22. Saving Private Ryan",8.6,"1998",R
A22,"23. Shutter Island",8.2,"2010",R
A23,"24. Schindler's List",9.0,"1993",R
A24,"25. The Prestige",8.5,"2006",PG-13
A25,"26. The Avengers",8.0,"2012",PG-13
A26,"27. Star Wars: Episode IV - A New Hope",8.6,"1977",PG
A27,"28. The Departed",8.5,"2006",R
A28,"29. The Green Mile",8.6,"1999",R
A29,"30. Star Wars: Episode V - The Empire Strikes Back",8.7,"1980",PG
A30,"31. Avatar",7.9,"2009",PG-13
A31,"32. The Godfather Part II",9.0,"1974",R
A32,"33. Memento",8.4,"2000",R
A33,"34. Back to the Future",8.5,"1985",PG
A34,"35. Avengers: Endgame",8.4,"2019",PG-13
A35,"36. Titanic",7.9,"1997",PG-13
A36,"37. Goodfellas",8.7,"1990",R
A37,"38. Guardians of the Galaxy",8.0,"2014",PG-13
A38,"39. Léon: The Professional",8.5,"1994",R
A39,"40. Avengers: Infinity War",8.4,"2018",PG-13
A40,"41. The Truman Show",8.2,"1998",PG
A41,"42. Pirates of the Caribbean: The Curse of the Black Pearl",8.1,"2003",PG-13
A42,"43. WALL·E",8.4,"2008",G
A43,"44. American Beauty",8.3,"1999",R
A44,"45. Kill Bill: Vol. 1",8.2,"2003",R
A45,"46. American History X",8.5,"1998",R
A46,"47. Terminator 2: Judgment Day",8.6,"1991",R
A47,"48. V for Vendetta",8.1,"2005",R
A48,"49. Deadpool",8.0,"2016",R
A49,"50. The Lion King",8.5,"1994",G
A50,"51. The Usual Suspects",8.5,"1995",R
A51,"52. Up",8.3,"2009",PG
A52,"53. Iron Man",7.9,"2008",PG-13
A53,"54. Star Wars: Episode VI - Return of the Jedi",8.3,"1983",PG
A54,"55. The Shining",8.4,"1980",R
A55,"56. Mad Max: Fury Road",8.1,"2015",R
A56,"57. Finding Nemo",8.2,"2003",G
A57,"58. Catch Me If You Can",8.1,"2002",PG-13
A58,"59. Eternal Sunshine of the Spotless Mind",8.3,"2004",R
A59,"60. Reservoir Dogs",8.3,"1992",R
A60,"61. Braveheart",8.3,"1995",R
A61,"62. Good Will Hunting",8.3,"1997",R
A62,"63. Toy Story",8.3,"1995",G
A63,"64. Gone Girl",8.1,"2014",R
A64,"65. No Country for Old Men",8.2,"2007",R
A65,"66. One Flew Over the Cuckoo's Nest",8.7,"1975",R
A66,"67. Jurassic Park",8.2,"1993",PG-13
A67,"68. The Sixth Sense",8.2,"1999",PG-13
A68,"69. Raiders of the Lost Ark",8.4,"1981",PG
A69,"70. Whiplash",8.5,"2014",R
A70,"71. Parasite",8.5,"2019",R
A71,"72. The Hunger Games",7.2,"2012",PG-13
A72,"73. Monsters, Inc.",8.1,"2001",G
A73,"74. A Beautiful Mind",8.2,"2001",PG-13
A74,"75. Alien",8.5,"1979",R
A75,"76. Star Wars: Episode VII - The Force Awakens",7.8,"2015",PG-13
A76,"77. Harry Potter and the Deathly Hallows: Part 2",8.1,"2011",PG-13
A77,"78. Die Hard",8.2,"1988",R
A78,"79. The Intouchables",8.5,"2011",R
A79,"80. Taxi Driver",8.2,"1976",R
A80,"81. The Martian",8.0,"2015",PG-13
A81,"82. The Terminator",8.1,"1984",R
A82,"83. The Pianist",8.5,"2002",R
A83,"84. Scarface",8.3,"1983",R
A84,"85. Avengers: Age of Ultron",7.3,"2015",PG-13
A85,"86. Dune: Part One",8.0,"2021",PG-13
A86,"87. Snatch",8.2,"2000",R
A87,"88. Spider-Man: No Way Home",8.2,"2021",PG-13
A88,"89. Requiem for a Dream",8.3,"2000",NC-17
A89,"90. Thor",7.0,"2011",PG-13
A90,"91. Captain America: The Winter Soldier",7.7,"2014",PG-13
A91,"92. Iron Man 3",7.1,"2013",PG-13
A92,"93. Captain America: The First Avenger",6.9,"2011",PG-13
A93,"94. Toy Story 3",8.3,"2010",G
A94,"95. The Grand Budapest Hotel",8.1,"2014",R
A95,"96. Spider-Man",7.4,"2002",PG-13
A96,"97. 12 Angry Men",9.0,"1957",Approved
A97,"98. A Clockwork Orange",8.2,"1971",R
A98,"99. The Revenant",8.0,"2015",R
A99,"100. The Hobbit: An Unexpected Journey",7.8,"2012",PG-13
A100,"101. Spirited Away",8.6,"2001",PG
A101,"102. Harry Potter and the Sorcerer's Stone",7.7,"2001",PG
A102,"103. Iron Man 2",6.9,"2010",PG-13
A103,"104. Slumdog Millionaire",8.0,"2008",R
A104,"105. Once Upon a Time... in Hollywood",7.6,"2019",R
A105,"106. 300",7.6,"2006",R
A106,"107. Star Wars: Episode I - The Phantom Menace",6.5,"1999",PG
A107,"108. The Big Lebowski",8.1,"1998",R
A108,"109. Logan",8.1,"2017",R
A109,"110. Captain America: Civil War",7.8,"2016",PG-13
A110,"111. Gravity",7.7,"2013",PG-13
A111,"112. The Hangover",7.7,"2009",R
A112,"113. Donnie Darko",8.0,"2001",R
A113,"114. Star Wars: Episode III - Revenge of the Sith",7.6,"2005",PG-13
A114,"115. Ratatouille",8.1,"2007",G
A115,"116. Black Panther",7.3,"2018",PG-13
A116,"117. The Batman",7.8,"2022",PG-13
A117,"118. Prisoners",8.2,"2013",R
A118,"119. Inside Out",8.1,"2015",PG
A119,"120. Black Swan",8.0,"2010",R
A120,"121. Oppenheimer",8.3,"2023",R
A121,"122. Blade Runner",8.1,"1982",R
A122,"123. The Imitation Game",8.0,"2014",PG-13
A123,"124. Thor: Ragnarok",7.9,"2017",PG-13
A124,"125. The Incredibles",8.0,"2004",PG
A125,"126. The Good, the Bad and the Ugly",8.8,"1966",R
A126,"127. I Am Legend",7.2,"2007",PG-13
A127,"128. Doctor Strange",7.5,"2016",PG-13
A128,"129. Gran Torino",8.1,"2008",R
A129,"130. Indiana Jones and the Last Crusade",8.2,"1989",PG-13
A130,"131. How to Train Your Dragon",8.1,"2010",PG
A131,"132. Kill Bill: Vol. 2",8.0,"2004",R
A132,"133. Man of Steel",7.1,"2013",PG-13
A133,"134. City of God",8.6,"2002",R
A134,"135. Full Metal Jacket",8.2,"1987",R
A135,"136. Amélie",8.3,"2001",R
A136,"137. Knives Out",7.9,"2019",PG-13
