id,title,rating,date,MPA_rating
B0,"1.Dekalog (1988)",100,"Mar 22, 1996",TV-MA
B1,"2.The Conformist",100,"Oct 22, 1970",R
B2,"3.Three Colors: Red",100,"Nov 23, 1994",R
B3,"4.Lawrence of Arabia (re-release)",100,"Sep 20, 2002",Approved
B4,"5.The Godfather",100,"Mar 24, 1972",TV-14
B5,"6.Boyhood",100,"Jul 11, 2014",TV-14
B6,"7.Rear Window",100,"Sep 1, 1954",TV-PG
B7,"8.The Leopard (re-release)",100,"Aug 13, 2004",PG
B8,"9.Tokyo Story",100,"Mar 13, 1972",Not Rated
B9,"10.Citizen Kane",100,"Sep 4, 1941",TV-PG
B10,"11.Casablanca",100,"Jan 23, 1943",TV-PG
B11,"12.Notorious",100,"Sep 6, 1946",Not Rated
B12,"13.Vertigo",100,"May 28, 1958",TV-PG
B13,"14.Fanny and Alexander (re-release)",100,"May 21, 2004",R
B14,"15.Singin' in the Rain",99,"Apr 11, 1952",Passed
B15,"16.Playtime",99,"Jun 27, 1973",Not Rated
B16,"17.Touch of Evil",99,"Feb 1, 1958",Passed
B17,"18.Army of Shadows",99,"Apr 28, 2006",Not Rated
B18,"19.City Lights",99,"Mar 7, 1931",G
B19,"20.Moonlight",99,"Oct 21, 2016",R
B20,"21.Intolerance",99,"Sep 5, 1916",Passed
B21,"22.The Rules of the Game",99,"Apr 8, 1950",Not Rated
B22,"23.Pinocchio",99,"Feb 23, 1940",Passed
B23,"24.Seven Samurai",98,"Nov 19, 1956",Not Rated
B24,"25.The Wild Bunch",98,"Jun 18, 1969",R
B25,"26.Au hasard Balthazar",98,"Sep 16, 1966",Not Rated
B26,"27.The Lady Vanishes",98,"Nov 1, 1938",TV-PG
B27,"28.Pépé le Moko (re-release)",98,"Mar 1, 2002",Not Rated
B28,"29.The Treasure of the Sierra Madre",98,"Jan 24, 1948",Passed
B29,"30.Pan's Labyrinth",98,"Dec 29, 2006",TV-14
B30,"31.Some Like It Hot",98,"Mar 29, 1959",Passed
B31,"32.North by Northwest",98,"Aug 6, 1959",Approved
B32,"33.Hoop Dreams",98,"Oct 14, 1994",PG-13
B33,"34.Rashomon",98,"Dec 26, 1951",Not Rated
B34,"35.The Passion of Joan of Arc",98,"Mar 28, 1929",Passed
B35,"36.All About Eve",98,"Oct 27, 1950",Passed
B36,"37.Metropolis (re-release)",98,"Jul 12, 2002",Not Rated
B37,"38.Jules and Jim",97,"Apr 23, 1962",Not Rated
B38,"39.My Left Foot",97,"Nov 10, 1989",TV-14
B39,"40.The Night of the Hunter",97,"Jul 27, 1955",Not Rated
B40,"41.Ran",97,"Dec 20, 1985",R
B41,"42.Gone with the Wind",97,"Jan 17, 1940",Passed
B42,"43.The Third Man",97,"Sep 3, 1949",TV-PG
B43,"44.Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",97,"Jan 29, 1964",TV-PG
B44,"45.Quo Vadis, Aida?",97,"Mar 5, 2021",TV-MA
B45,"46.Rififi (re-release)",97,"Jul 21, 2000",Not Rated
B46,"47.Psycho",97,"Sep 8, 1960",TV-14
B47,"48.4 Months, 3 Weeks and 2 Days",97,"Jan 23, 2008",Not Rated
B48,"49.Parasite",97,"Oct 11, 2019",R
B49,"50.Battleship Potemkin",97,"Dec 5, 1926",Not Rated
B50,"51.A Streetcar Named Desire",97,"Sep 19, 1951",PG
B51,"52.The Maltese Falcon",97,"Oct 18, 1941",Passed
B52,"53.American Graffiti",97,"Aug 11, 1973",TV-PG
B53,"54.12 Angry Men",97,"Apr 1, 1957",Approved
B54,"55.Dumbo",96,"Oct 31, 1941",Passed
B55,"56.Roma",96,"Nov 21, 2018",R
B56,"57.Man with a Movie Camera",96,"May 12, 1929",Not Rated
B57,"58.Spirited Away",96,"Sep 20, 2002",TV-PG
B58,"59.Toy Story",96,"Nov 22, 1995",TV-Y7
B59,"60.Summer of Soul (...Or, When the Revolution Could Not Be Televised)",96,"Jul 2, 2021",PG-13
B60,"61.The Shop Around the Corner",96,"Jan 12, 1940",Not Rated
B61,"62.12 Years a Slave",96,"Oct 18, 2013",TV-14
B62,"63.Manchester by the Sea",96,"Nov 18, 2016",R
B63,"64.The Battle of Algiers",96,"Jan 9, 2004",Not Rated
B64,"65.A Hard Day's Night",96,"Aug 11, 1964",Approved
B65,"66.Killer of Sheep",96,"Mar 30, 2007",Mar 30, 2007
B66,"67.Nashville",96,"Jun 11, 1975",R
B67,"68.Red River",96,"Sep 17, 1948",Passed
B68,"69.Rosemary's Baby",96,"Jun 12, 1968",Approved
B69,"70.The Philadelphia Story",96,"Dec 5, 1940",Not Rated
B70,"71.Sansho the Bailiff",96,"Jan 1, 1955",Not Rated
B71,"72.Ratatouille",96,"Jun 29, 2007",TV-G
B72,"73.The Grapes of Wrath",96,"Mar 15, 1940",Passed
B73,"74.Snow White and the Seven Dwarfs",96,"Feb 4, 1938",TV-G
B74,"75.Children of Paradise (1945)",96,"Mar 9, 2012",Not Rated
B75,"76.Mean Streets",96,"Oct 14, 1973",R
B76,"77.The Lady Eve",96,"Mar 21, 1941",Passed
B77,"78.Gravity",96,"Oct 4, 2013",PG-13
B78,"79.Fantasia",96,"Nov 13, 1940",G
B79,"80.Beauty and the Beast",95,"Nov 22, 1991",TV-G
B80,"81.Small Axe: Lovers Rock",95,"Nov 27, 2020",TV-MA
B81,"82.The Bride of Frankenstein",95,"May 6, 1935",TV-MA
B82,"83.Don't Look Now",95,"Dec 9, 1973",R
B83,"84.The Social Network",95,"Oct 1, 2010",TV-14
B84,"85.My Fair Lady",95,"Dec 25, 1964",G
B85,"86.Portrait of a Lady on Fire",95,"Dec 6, 2019",R
B86,"87.I Am Not Your Negro",95,"Dec 9, 2016",PG-13
B87,"88.Woodstock",95,"Mar 26, 1970",R
B88,"89.Do Not Expect Too Much From the End of the World",95,"Mar 22, 2024",Mar 22, 2024
B89,"90.Aftersun",95,"Oct 21, 2022",R
B90,"91.Rocks",95,"Feb 1, 2021",TV-MA
B91,"92.Amour",95,"Dec 19, 2012",PG-13
B92,"93.The Hurt Locker",95,"Jun 26, 2009",R
B93,"94.Anatomy of a Murder",95,"Jul 1, 1959",Not Rated
B94,"95.Pulp Fiction",95,"Oct 14, 1994",TV-14
B95,"96.Zero Dark Thirty",95,"Dec 19, 2012",R
B96,"97.Collective",95,"Nov 20, 2020",Not Rated
B97,"98.A Separation",95,"Dec 30, 2011",PG-13
B98,"99.Double Indemnity",95,"Jul 6, 1944",Passed
B99,"100.Sunrise",95,"Nov 4, 1927",Passed
B100,"101.La Dolce Vita",95,"Apr 19, 1961",Not Rated
B101,"102.Schindler's List",95,"Dec 15, 1993",R
B102,"103.WALL-E",95,"Jun 27, 2008",TV-G
B103,"104.Carol",94,"Nov 20, 2015",R
B104,"105.Before Midnight",94,"May 24, 2013",R
B105,"106.Amazing Grace",94,"Nov 23, 2018",G
B106,"107.Dunkirk",94,"Jul 21, 2017",PG-13
B107,"108.The Man Who Shot Liberty Valance",94,"Apr 22, 1962",Approved
B108,"109.The Searchers",94,"May 26, 1956",Passed
B109,"110.45 Years",94,"Dec 23, 2015",R
B110,"111.Taxi Driver",94,"Feb 7, 1976",TV-MA
B111,"112.Inside the Yellow Cocoon Shell",94,"Jan 19, 2024",Jan 19, 2024
B112,"113.The Servant",94,"Mar 16, 1964",Unrated
B113,"114.Yi Yi",94,"Oct 6, 2000",Not Rated
B114,"115.The Manchurian Candidate",94,"Oct 24, 1962",PG-13
B115,"116.Mr. Turner",94,"Dec 19, 2014",R
B116,"117.The Irishman",94,"Nov 1, 2019",R
B117,"118.Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",94,"Oct 4, 1978",Not Rated
B118,"119.Grave of the Fireflies (1988)",94,"Jul 26, 1989",Not Rated
B119,"120.Crouching Tiger, Hidden Dragon",94,"Dec 8, 2000",PG-13
B120,"121.The Wild Child",94,"Sep 11, 1970",G
B121,"122.Stop Making Sense",94,"Oct 18, 1984",PG
B122,"123.Shadow of a Doubt",94,"Jan 15, 1943",Passed
B123,"124.Inside Out",94,"Jun 19, 2015",TV-PG
B124,"125.Sideways",94,"Oct 22, 2004",R
B125,"126.Meet Me in St. Louis",94,"Jan 1, 1945",Passed
B126,"127.Sunset Boulevard",94,"Aug 10, 1950",Passed
B127,"128.The Apartment",94,"Jun 15, 1960",Approved
B128,"129.Apocalypse Now",94,"Aug 15, 1979",TV-14
B129,"130.The Gunfighter",94,"Jun 23, 1950",Approved
B130,"131.We Were Here",94,"Sep 9, 2011",Not Rated
B131,"132.Faces Places",94,"Oct 6, 2017",PG
B132,"133.Days of Heaven",94,"Sep 13, 1978",PG
B133,"134.Past Lives",94,"Jun 2, 2023",PG-13
B134,"135.Chimes at Midnight",94,"Mar 17, 1967",Not Rated
B135,"136.The Lord of the Rings: The Return of the King",94,"Dec 17, 2003",PG-13
B136,"137.Badlands",94,"Oct 15, 1973",PG
B137,"138.Call Me by Your Name",94,"Nov 24, 2017",R
B138,"139.Trenque Lauquen Parte II",94,"Apr 21, 2023",Apr 21, 2023
B139,"140.Trenque Lauquen Parte I",94,"Apr 21, 2023",Apr 21, 2023
B140,"141.Carlos",94,"Oct 15, 2010",Not Rated
B141,"142.Marriage Story",94,"Nov 6, 2019",R
B142,"143.The French Connection",94,"Oct 7, 1971",TV-MA
B143,"144.Elevator to the Gallows",94,"Jun 10, 1961",Not Rated
B144,"145.La La Land",94,"Dec 9, 2016",PG-13
B145,"146.Petite Maman",93,"Dec 3, 2021",PG
B146,"147.Lady Bird",93,"Nov 3, 2017",R
B147,"148.The Magnificent Ambersons",93,"Jul 10, 1942",Not Rated
B148,"149.Reversal of Fortune",93,"Oct 17, 1990",TV-14
B149,"150.Rio Bravo",93,"Apr 4, 1959",Passed
B150,"151.All We Imagine as Light",93,"Nov 15, 2024",Unrated
B151,"152.David Byrne’s American Utopia",93,"Oct 17, 2020",TV-14
B152,"153.Masculine Feminine",93,"Sep 19, 1966",Not Rated
B153,"154.Shoplifters",93,"Nov 23, 2018",R
B154,"155.Shoah: Four Sisters",93,"Nov 14, 2018",Not Rated
B155,"156.Duck Soup",93,"Nov 17, 1933",Not Rated
B156,"157.The 39 Steps",93,"Aug 1, 1935",Approved
B157,"158.Toni Erdmann",93,"Dec 25, 2016",R
B158,"159.The Discreet Charm of the Bourgeoisie",93,"Oct 22, 1972",PG
B159,"160.Uncut Gems",93,"Dec 13, 2019",R
B160,"161.McCabe & Mrs. Miller",93,"Jun 24, 1971",R
B161,"162.Inside Llewyn Davis",93,"Dec 6, 2013",R
B162,"163.The Best Years of Our Lives",93,"Dec 25, 1946",Approved
B163,"164.Band of Outsiders",93,"Mar 15, 1966",Not Rated
B164,"165.Stagecoach",93,"Mar 3, 1939",Passed
B165,"166.Our Body",93,"Aug 4, 2023",Aug 4, 2023
B166,"167.The Life and Death of Colonel Blimp (1945)",93,"May 4, 1945",Not Rated
B167,"168.Days of Being Wild (re-release)",93,"Nov 19, 2004",Not Rated
B168,"169.Sherpa",93,"Oct 2, 2015",Not Rated
B169,"170.There Will Be Blood",93,"Dec 26, 2007",R
B170,"171.Tristana (re-release)",93,"Feb 22, 2013",PG-13
B171,"172.The Last Picture Show",93,"Oct 22, 1971",R
B172,"173.Hard to Be a God",93,"Jan 30, 2015",Not Rated
B173,"174.Do the Right Thing",93,"Jun 30, 1989",TV-14
B174,"175.Sita Sings the Blues",93,"Dec 25, 2009",Not Rated
B175,"176.The Decline of Western Civilization",93,"Jul 5, 1981",Not Rated
B176,"177.Yojimbo",93,"Sep 13, 1961",Not Rated
B177,"178.TÁR",93,"Oct 7, 2022",R
B178,"179.Werckmeister Harmonies",93,"Oct 10, 2001",Not Rated
B179,"180.Top Hat",93,"Sep 6, 1935",Not Rated
B180,"181.Brother's Keeper",93,"Sep 9, 1992",Not Rated
B181,"182.Sankofa",93,"May 28, 1993",May 28, 1993
B182,"183.Crumb",93,"Apr 28, 1995",R
B183,"184.No Bears",93,"Dec 23, 2022",Dec 23, 2022
B184,"185.8½",93,"Jun 24, 1963",Not Rated
B185,"186.Spotlight",93,"Nov 6, 2015",R
B186,"187.Solaris (1972)",93,"Oct 6, 1976",TV-14
B187,"188.The Band Wagon",93,"Aug 7, 1953",Passed
