ID,ltable_ID,rtable_ID,ltable_Title,ltable_ratingIMDB,rtable_metascore,ltable_MPA_Rating,ltable_IMDB Year
1,A1,B956,The Dark Knight,9.0,84,PG-13,2008
2,A5,B94,Pulp Fiction,8.9,95,R,1994
3,A8,B4,The Godfather,9.2,100,R,1972
4,A9,B223,The Lord of the Rings: The Fellowship of the Ring,8.9,92,PG-13,2001
5,A10,B135,The Lord of the Rings: The Return of the King,9.0,94,PG-13,2003
6,A13,B526,The Lord of the Rings: The Two Towers,8.8,87,PG-13,2002
7,A19,B775,The Silence of the Lambs,8.6,86,R,1991
8,A21,B298,Saving Private Ryan,8.6,91,R,1998
9,A23,B101,Schindler's List,9.0,95,R,1993
10,A26,B368,Star Wars: Episode IV - A New Hope,8.6,90,PG,1977
11,A27,B855,The Departed,8.5,85,R,2006
12,A31,B317,The Godfather Part II,9.0,90,R,1974
13,A33,B593,Back to the Future,8.5,87,PG,1985
14,A36,B231,Goodfellas,8.7,92,R,1990
15,A40,B352,The Truman Show,8.2,90,PG,1998
16,A43,B1003,American Beauty,8.3,84,R,1999
17,A49,B453,The Lion King,8.5,88,G,1994
18,A51,B503,Up,8.3,88,PG,2009
19,A55,B307,Mad Max: Fury Road,8.1,90,R,2015
20,A56,B337,Finding Nemo,8.2,90,G,2003
21,A58,B372,Eternal Sunshine of the Spotless Mind,8.3,89,R,2004
22,A62,B58,Toy Story,8.3,96,G,1995
23,A64,B199,No Country for Old Men,8.2,92,R,2007
24,A68,B726,Raiders of the Lost Ark,8.4,86,PG,1981
25,A69,B384,Whiplash,8.5,89,R,2014
26,A70,B48,Parasite,8.5,97,R,2019
27,A74,B422,Alien,8.5,89,R,1979
28,A76,B802,Harry Potter and the Deathly Hallows: Part 2,8.1,85,PG-13,2011
29,A79,B110,Taxi Driver,8.2,94,R,1976
30,A82,B809,The Pianist,8.5,85,R,2002
31,A83,B351,Scarface,8.3,90,R,1983
32,A93,B228,Toy Story 3,8.3,92,G,2010
33,A94,B480,The Grand Budapest Hotel,8.1,88,R,2014
34,A96,B53,12 Angry Men,9.0,97,Approved,1957
35,A100,B57,Spirited Away,8.6,96,PG,2001
36,A103,B945,Slumdog Millionaire,8.0,84,R,2008
37,A104,B973,Once Upon a Time... in Hollywood,7.6,84,R,2019
38,A110,B77,Gravity,7.7,96,PG-13,2013
39,A114,B71,Ratatouille,8.1,96,G,2007
40,A115,B516,Black Panther,7.3,88,PG-13,2018
41,A118,B123,Inside Out,8.1,94,PG,2015
42,A120,B348,Oppenheimer,8.3,90,R,2023
43,A121,B1006,Blade Runner,8.1,84,R,1982
44,A124,B343,The Incredibles,8.0,90,PG,2004
45,A125,B322,"The Good, the Bad and the Ugly",8.8,90,R,1966
47,A142,B83,The Social Network,7.8,95,PG-13,2010
48,A147,B106,Dunkirk,7.8,94,PG-13,2017
49,A152,B61,12 Years a Slave,8.1,96,R,2013
50,A156,B500,Fargo,8.1,88,R,1996
51,A157,B811,Get Out,7.8,85,R,2017
52,A163,B46,Psycho,8.5,97,R,1960
53,A169,B685,Million Dollar Baby,8.1,86,PG-13,2004
54,A172,B128,Apocalypse Now,8.4,94,R,1979
55,A180,B29,Pan's Labyrinth,8.2,98,R,2006
56,A181,B499,The King's Speech,8.0,88,R,2010
57,A182,B621,Spider-Man: Into the Spider-Verse,8.4,87,PG,2018
58,A190,B144,La La Land,8.0,94,PG-13,2016
59,A195,B280,Her,8.0,91,R,2013
60,A199,B587,Jaws,8.1,87,PG,1975
61,A204,B534,Birdman or (The Unexpected Virtue of Ignorance),7.7,87,R,2014
62,A208,B801,The Bourne Ultimatum,8.0,85,PG-13,2007
63,A211,B169,There Will Be Blood,8.2,93,R,2007
64,A219,B742,Argo,7.7,86,R,2012
65,A222,B773,Baby Driver,7.5,86,R,2017
66,A225,B515,Toy Story 2,7.9,88,G,1999
67,A227,B242,L.A. Confidential,8.2,91,R,1997
68,A237,B10,Casablanca,8.5,100,PG,1942
70,A269,B261,Monty Python and the Holy Grail,8.2,91,PG,1975
71,A276,B474,"Three Billboards Outside Ebbing, Missouri",8.1,88,R,2017
72,A299,B965,Children of Men,7.9,84,R,2006
73,A302,B6,Rear Window,8.5,100,PG,1954
74,A308,B43,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,97,PG,1964
75,A317,B411,It's a Wonderful Life,8.6,89,PG,1946
76,A323,B185,Spotlight,8.1,93,R,2015
77,A333,B366,American Hustle,7.2,90,R,2013
78,A334,B250,Lost in Translation,7.7,91,R,2003
79,A355,B79,Beauty and the Beast,8.0,95,G,1991
80,A362,B755,Aladdin,8.0,86,G,1992
81,A363,B92,The Hurt Locker,7.5,95,R,2008
82,A365,B641,Moneyball,7.6,87,PG-13,2011
83,A371,B9,Citizen Kane,8.3,100,PG,1941
84,A390,B664,Room,8.1,86,R,2015
85,A401,B631,The Shape of Water,7.3,87,R,2017
86,A402,B204,King Kong,7.2,92,PG-13,2005
87,A417,B198,Platoon,8.1,92,R,1986
88,A418,B219,E.T. the Extra-Terrestrial,7.9,92,PG,1982
89,A419,B893,Unforgiven,8.2,85,R,1992
90,A421,B116,The Irishman,7.8,94,R,2019
91,A425,B191,The Wizard of Oz,8.1,92,G,1939
92,A428,B549,Amadeus,8.4,87,PG,1984
93,A431,B12,Vertigo,8.3,100,PG,1958
95,A441,B677,Spider-Man: Across the Spider-Verse,8.5,86,PG,2023
96,A443,B409,A Star Is Born,7.6,89,R,2018
97,A458,B376,The Lives of Others,8.4,89,R,2006
98,A473,B605,Hereditary,7.3,87,R,2018
99,A489,B625,Mulholland Drive,7.9,87,R,2001
100,A490,B543,My Neighbor Totoro,8.1,87,G,1988
102,A497,B618,Brokeback Mountain,7.7,87,R,2005
103,A510,B361,Raging Bull,8.1,90,R,1980
104,A513,B852,Knocked Up,6.9,85,R,2007
105,A514,B574,Mission: Impossible - Fallout,7.7,87,PG-13,2018
106,A533,B23,Seven Samurai,8.6,98,Not Rated,1954
107,A540,B5,Boyhood,7.9,100,R,2014
108,A542,B975,Moonrise Kingdom,7.8,84,PG-13,2012
109,A543,B371,The Deer Hunter,8.1,90,R,1978
110,A562,B200,Chinatown,8.1,92,R,1974
111,A564,B342,Being John Malkovich,7.7,90,R,1999
112,A571,B31,North by Northwest,8.3,98,Approved,1959
113,A572,B141,Marriage Story,7.9,94,R,2019
115,A587,B146,Lady Bird,7.4,93,R,2017
116,A599,B79,Beauty and the Beast,7.1,95,PG,2017
117,A601,B41,Gone with the Wind,8.2,97,G,1939
118,A608,B510,To Kill a Mockingbird,8.3,88,Approved,1962
119,A612,B19,Moonlight,7.4,99,R,2016
120,A615,B118,Grave of the Fireflies,8.5,94,Not Rated,1988
122,A628,B137,Call Me by Your Name,7.8,94,R,2017
123,A635,B159,Uncut Gems,7.4,93,R,2019
124,A640,B608,The Fugitive,7.8,87,PG-13,1993
125,A648,B95,Zero Dark Thirty,7.4,95,R,2012
126,A649,B62,Manchester by the Sea,7.8,96,R,2016
127,A653,B506,Poor Things,7.8,88,R,2023
129,A670,B309,Halloween,7.7,90,R,1978
130,A693,B910,Atonement,7.8,85,R,2007
131,A723,B346,Almost Famous,7.9,90,R,2000
132,A728,B755,Aladdin,6.9,86,PG,2019
133,A732,B462,The Little Mermaid,7.6,88,G,1989
134,A739,B294,Before Sunset,8.1,91,R,2004
136,A764,B30,Some Like It Hot,8.2,98,Approved,1959
137,A775,B697,Boogie Nights,7.9,86,R,1997
138,A783,B119,"Crouching Tiger, Hidden Dragon",7.9,94,PG-13,2000
139,A794,B222,Annie Hall,7.9,92,PG,1977
140,A801,B663,Dog Day Afternoon,8.0,86,R,1975
141,A805,B453,The Lion King,6.8,88,PG,2019
142,A812,B600,Lincoln,7.3,87,PG-13,2012
143,A820,B922,Das Boot,8.4,85,2h 29m,1981
144,A828,B386,Killers of the Flower Moon,7.6,89,R,2023
145,A832,B603,The Banshees of Inisherin,7.7,87,R,2022
146,A848,B14,Singin' in the Rain,8.3,99,G,1952
147,A861,B548,The Invisible Man,7.1,87,R,2020
148,A863,B265,All Quiet on the Western Front,7.8,91,R,2022
149,A865,B97,A Separation,8.3,95,PG-13,2011
150,A869,B700,The Great Escape,8.2,86,Approved,1963
151,A885,B214,Little Women,7.8,92,PG,2019
152,A886,B502,Hell or High Water,7.6,88,R,2016
153,A896,B300,Ben-Hur,8.1,90,G,1959
154,A908,B693,The Babadook,6.8,86,Not Rated,2014
155,A939,B425,The Artist,7.8,89,PG-13,2011
156,A967,B126,Sunset Boulevard,8.4,94,Approved,1950
157,A968,B68,Rosemary's Baby,8.0,96,R,1968
158,A973,B287,The Favourite,7.5,91,R,2018
159,A996,B926,The Iron Giant,8.1,85,PG,1999
160,A999,B517,The Bridge on the River Kwai,8.1,88,PG,1957
